Time,Voltage_1,Time 1,Voltage_2,Time 2,Voltage_0,MBP
12:33:17.836,1.759029,12:33:17.836,39.967507,12:33:17.836,0.002969,65
12:33:17.837,1.742145,12:33:17.837,39.899971,12:33:17.837,0.002311,65
12:33:17.838,1.759029,12:33:17.838,39.866203,12:33:17.838,0.00264,65
12:33:17.839,1.792797,12:33:17.839,39.984391,12:33:17.839,0.002969,65
12:33:17.840,1.860333,12:33:17.840,39.967507,12:33:17.840,0.003297,65
12:33:17.841,1.843449,12:33:17.841,39.849319,12:33:17.841,0.00264,65
12:33:17.842,1.792797,12:33:17.842,39.832435,12:33:17.842,0.003297,65
12:33:17.843,1.860333,12:33:17.843,39.899971,12:33:17.843,0.004284,65
12:33:17.844,1.826565,12:33:17.844,39.849319,12:33:17.844,0.004284,65
12:33:17.845,1.877217,12:33:17.845,39.764899,12:33:17.845,0.002969,65
12:33:17.846,1.826565,12:33:17.846,39.815551,12:33:17.846,0.003297,65
12:33:17.847,1.826565,12:33:17.847,39.899971,12:33:17.847,0.004284,65
12:33:17.848,1.826565,12:33:17.848,39.781783,12:33:17.848,0.003626,65
12:33:17.849,1.843449,12:33:17.849,39.815551,12:33:17.849,0.006256,65
12:33:17.850,1.843449,12:33:17.850,39.596059,12:33:17.850,0.001325,65
12:33:17.851,1.826565,12:33:17.851,39.849319,12:33:17.851,0.003626,65
12:33:17.852,1.877217,12:33:17.852,39.849319,12:33:17.852,0.003955,65
12:33:17.853,1.792797,12:33:17.853,39.680479,12:33:17.853,0.001325,65
12:33:17.854,1.742145,12:33:17.854,39.781783,12:33:17.854,0.00264,65
12:33:17.855,1.691493,12:33:17.855,39.967507,12:33:17.855,0.001982,65
12:33:17.856,1.725261,12:33:17.856,39.883087,12:33:17.856,0.001653,65
12:33:17.857,1.708377,12:33:17.857,39.849319,12:33:17.857,0.003297,65
12:33:17.858,1.607073,12:33:17.858,39.832435,12:33:17.858,0.004612,65
12:33:17.859,1.539537,12:33:17.859,39.916855,12:33:17.859,0.001325,65
12:33:17.860,1.539537,12:33:17.860,39.883087,12:33:17.860,0.003955,65
12:33:17.861,1.556421,12:33:17.861,39.781783,12:33:17.861,0.003297,65
12:33:17.862,1.539537,12:33:17.862,39.849319,12:33:17.862,0.00264,65
12:33:17.863,1.505769,12:33:17.863,39.781783,12:33:17.863,0.003297,65
